rowID,dialogueID,entryNodeID,isEnable
EventPriest_First,EventPriest_First,EventPriest_First_1,TRUE
LobbyPriest_First,LobbyPriest_First,LobbyPriest_First_1,TRUE
LobbyPriest_Second,LobbyPriest_Second,LobbyPriest_Second_1,TRUE
LobbyPriest_Third,LobbyPriest_Third,LobbyPriest_Third_1,TRUE
LobbyPriest_Fourth,LobbyPriest_Fourth,LobbyPriest_Fourth_1,TRUE
LobbyPriest_AboutElemental,LobbyPriest_AboutElemental,LobbyPriest_AboutElemental_1,TRUE
LobbyPriest_Priest'sOrb,LobbyPriest_Priest'sOrb,LobbyPriest_Priest'sOrb_1,TRUE
Heca_First,Heca_First,Heca_First_1,TRUE
Heca_Second,Heca_Second,Heca_Second_1,TRUE
Heca_Third,Heca_Third,Heca_Third_1,TRUE
Heca_Fourth,Heca_Fourth,Heca_Fourth_1,TRUE
Heca_RelicHint,Heca_RelicHint,Heca_RelicHint_1,TRUE
Heca_Heca'sGemstone,Heca_Heca'sGemstone,Heca_Heca'sGemstone_1,TRUE
Krabian_First,Krabian_First,Krabian_First_1,TRUE
Krabian_Second,Krabian_Second,Krabian_Second_1,TRUE
Krabian_Krabian'sCanine,Krabian_Krabian'sCanine,Krabian_Krabian'sCanine_1,TRUE
Lucien_First,Lucien_First,Lucien_First_1,TRUE
Lucien_Second,Lucien_Second,Lucien_Second_1,TRUE
Elemental_First,Elemental_First,Elemental_First_1,TRUE
Elemental_Second,Elemental_Second,Elemental_Second_1,TRUE
Clown_First,Clown_First,Clown_First_1,TRUE
