rowID,nodeType,speaker,characterID,text,portraitKey,nextID,prompt,targetID,isEnable
EventPriest_First_1,Line,NPC,Priest,반가워요. 이클리스.,Talk,EventPriest_First_2,,,TRUE
EventPriest_First_2,Line,Player,Eclis,여기서 뭘 하고 있는 거지?,Talk,EventPriest_First_3,,,TRUE
EventPriest_First_3,Line,NPC,Priest,저는 이 탑의 관리자니까요. 돌아다니면서 지저분한 곳을 청소한답니다.,Talk,EventPriest_First_4,,,TRUE
EventPriest_First_4,Line,NPC,Priest,지금은 당신과 우연히 마주친 거라고 할 수 있겠네요.,Talk,EventPriest_First_5,,,TRUE
EventPriest_First_5,Line,Player,Eclis,"나랑은 전혀 상관 없는 일인 것 같은데, 길을 비켜주면 좋겠군.",Talk,EventPriest_First_6,,,TRUE
EventPriest_First_6,Line,NPC,Priest,음... 잠시만요.,Talk,EventPriest_First_7,,,TRUE
EventPriest_First_7,Line,NPC,Priest,이렇게 가끔 마주치는 정도라면 당신에게 조금 도움을 줘도 괜찮을 것 같네요.,Talk,EventPriest_First_8,,,TRUE
EventPriest_First_8,Line,Player,Eclis,도움?,Talk,EventPriest_First_9,,,TRUE
EventPriest_First_9,Line,NPC,Priest,그래요. 앞으로 이렇게 저와 우연히 마주칠 때면 제가 당신에게 약간의 도움을 드리겠습니다.,Talk,EventPriest_First_10,,,TRUE
EventPriest_First_10,Line,Player,Eclis,그런 규칙을 그렇게 네 마음대로 만들어도 되는 건가?,Talk,EventPriest_First_11,,,TRUE
EventPriest_First_11,Line,NPC,Priest,물론이죠. 저는 이 탑의 관리자니까요.,Talk,EventPriest_First_12,,,TRUE
EventPriest_First_12,Line,Player,Eclis,...,Default,EventPriest_First_13,,,TRUE
EventPriest_First_13,Line,Player,Eclis,그래. 도움이 된다면야.,Talk,EventPriest_First_14,,,TRUE
EventPriest_First_14,Choice,,,,,,어떤 도움을 받으실 건가요?,,TRUE
EventPriest_First_15,Line,Player,Eclis,나쁘지 않네.,Talk,EventPriest_First_16,,,TRUE
EventPriest_First_16,Line,NPC,Priest,또 봐요. 당신에게 신의 은총이 함께하길.,Talk,EventPriest_First_17,,,TRUE
EventPriest_First_17,End,,,,,,,,TRUE
LobbyPriest_First_1,Line,NPC,Priest,"시련의 탑에 온 걸 환영해요, 이클리스",Talk,LobbyPriest_First_2,,,TRUE
LobbyPriest_First_2,Line,Player,Eclis,내 이름을 알고 있군.,Talk,LobbyPriest_First_3,,,TRUE
LobbyPriest_First_3,Line,NPC,Priest,근방에서 당신을 모르는 사람은 없을 걸요. 10년 가까이 최강의 헌터라고 불리는 사내이니.,Talk,LobbyPriest_First_4,,,TRUE
LobbyPriest_First_4,Line,NPC,Priest,저는 신탁을 받고 시련의 탑을 관리하는 성직자입니다. 당신의 시련을 도와주는 역할이죠.,Talk,LobbyPriest_First_5,,,TRUE
LobbyPriest_First_5,Line,Player,Eclis,"흥, 어서 시련으로 날 안내 해. 시간 낭비하고싶지 않으니까.",Talk,LobbyPriest_First_6,,,TRUE
LobbyPriest_First_6,Line,NPC,Priest,오른쪽 문으로 들어가면 됩니다.,Talk,LobbyPriest_First_7,,,TRUE
LobbyPriest_First_7,Line,NPC,Priest,...,Default,LobbyPriest_First_8,,,TRUE
LobbyPriest_First_8,Line,NPC,Priest,통과하셨으면 좋겠네요.,Talk,LobbyPriest_First_9,,,TRUE
LobbyPriest_First_9,End,,,,,,,,TRUE
LobbyPriest_Second_1,Line,NPC,Priest,시련이 많이 어려웠나보네요. 최강의 헌터도 실패할 정도라니.,Talk,LobbyPriest_Second_2,,,TRUE
LobbyPriest_Second_2,Line,Player,Eclis,나는 죽은 게 아닌 건가?,Talk,LobbyPriest_Second_3,,,TRUE
LobbyPriest_Second_3,Line,NPC,Priest,시련에 실패해도 죽음에 이르지는 않습니다.,Talk,LobbyPriest_Second_4,,,TRUE
LobbyPriest_Second_4,Line,NPC,Priest,"뭐, 당신은 지금 정신적인 타격이 큰 것 같네요. 너무 자책하지는 마세요. 시련은 얼마든지 도전해도 되니까요.",Talk,LobbyPriest_Second_5,,,TRUE
LobbyPriest_Second_5,Line,Player,Eclis,"...너, 말투가 굉장히 거슬리는 군.",SickOf,LobbyPriest_Second_6,,,TRUE
LobbyPriest_Second_6,Line,Player,Eclis,내 신경을 건드리는 놈들이 어떻게 됐는지는 소문나지 않았나 보지?,SickOf,LobbyPriest_Second_7,,,TRUE
LobbyPriest_Second_7,Line,Player,Eclis,말투에 신경 쓰는 게 좋을 거야. 난 시련이고 뭐고 내 신경을 건드는 널 죽이고 나가면 그만이니까.,SickOf,LobbyPriest_Second_8,,,TRUE
LobbyPriest_Second_8,Line,NPC,Priest,...참고하겠습니다.,Talk,LobbyPriest_Second_9,,,TRUE
LobbyPriest_Second_9,End,,,,,,,,TRUE
LobbyPriest_Third_1,Line,Player,Eclis,...생각보단 더 어려운 시련이야.,Talk,LobbyPriest_Third_2,,,TRUE
LobbyPriest_Third_2,Line,NPC,Priest,그렇군요.,Talk,LobbyPriest_Third_3,,,TRUE
LobbyPriest_Third_3,Line,NPC,Priest,시련의 보상이 어떤 것이었는지 기억하시나요?,Talk,LobbyPriest_Third_4,,,TRUE
LobbyPriest_Third_4,Line,Player,Eclis,신의 무구?,Talk,LobbyPriest_Third_5,,,TRUE
LobbyPriest_Third_5,Line,NPC,Priest,맞아요. 신의 무구를 손에 넣는 길은 결코 쉽지 않습니다. 당연하게도요.,Talk,LobbyPriest_Third_6,,,TRUE
LobbyPriest_Third_6,Line,NPC,Priest,"하지만 인류 최강인 당신이 신의 무구를 손에 쥔다면, 어떤 마족도 상대가 안 되겠죠.",Talk,LobbyPriest_Third_7,,,TRUE
LobbyPriest_Third_7,Line,Player,Eclis,나를 격려하는 건가? 정말 쓸데없는 짓을 하는 군.,Bored,LobbyPriest_Third_8,,,TRUE
LobbyPriest_Third_8,Line,Player,Eclis,그 따위 말 하지 않아도 난 이 시련을 통과하고 나갈 거야.,Bored,LobbyPriest_Third_9,,,TRUE
LobbyPriest_Third_9,Line,NPC,Priest,좋습니다. 부디 이번에는 통과하시길.,Talk,LobbyPriest_Third_10,,,TRUE
LobbyPriest_Third_10,End,,,,,,,,TRUE
LobbyPriest_Fourth_1,Line,Player,Eclis,젠장!,SickOf,LobbyPriest_Fourth_2,,,TRUE
LobbyPriest_Fourth_2,Line,Player,Eclis,정말 집어치우고 싶군.,SickOf,LobbyPriest_Fourth_3,,,TRUE
LobbyPriest_Fourth_3,Line,NPC,Priest,화가 많이 나셨군요.,Talk,LobbyPriest_Fourth_4,,,TRUE
LobbyPriest_Fourth_4,Line,NPC,Priest,당신이 시련의 도전하는 모습을 계속 지켜보고 있었습니다. 어려운 시련인 건 부정할 수 없네요.,Talk,LobbyPriest_Fourth_5,,,TRUE
LobbyPriest_Fourth_5,Line,NPC,Priest,어떤 무기 시너지의 최대치에 도달해보려고 시도해봤나요? 한 시너지의 최대치에 도달하면 제가 그에 걸맞는 보상을 드릴 수 있습니다.,Talk,LobbyPriest_Fourth_6,,,TRUE
LobbyPriest_Fourth_6,Line,NPC,Priest,당신은 점점 시련에 적응하고 있습니다. 포기하지 마세요.,Talk,LobbyPriest_Fourth_7,,,TRUE
LobbyPriest_Fourth_7,Line,Player,Eclis,포기할 생각은 없었어. 이렇게 반복되는 실패가 오랜만인 것 뿐이야.,Bored,LobbyPriest_Fourth_8,,,TRUE
LobbyPriest_Fourth_8,End,,,,,,,,TRUE
LobbyPriest_AboutElemental_1,Line,Player,Eclis,"탑 내부에 푸른색 불꽃 생명체가 있던데, 무엇인지 알고 있나?",Talk,LobbyPriest_AboutElemental_2,,,TRUE
LobbyPriest_AboutElemental_2,Line,NPC,Priest,당신이 만난 건 정령입니다. 이 탑에 오랜시간 응축된 마력이 생명체로 재탄생한 거죠.,Talk,LobbyPriest_AboutElemental_3,,,TRUE
LobbyPriest_AboutElemental_3,Line,Player,Eclis,마력이 자연적으로 생명체가 될 수 있단 말이야?,Talk,LobbyPriest_AboutElemental_4,,,TRUE
LobbyPriest_AboutElemental_4,Line,NPC,Priest,자연적으로 탄생했다고는 안 했습니다.,Talk,LobbyPriest_AboutElemental_5,,,TRUE
LobbyPriest_AboutElemental_5,Line,Player,Eclis,그럼 누가... 설마 네가 만든 건가?,Talk,LobbyPriest_AboutElemental_6,,,TRUE
LobbyPriest_AboutElemental_6,Line,NPC,Priest,모르는 일이죠.,Talk,LobbyPriest_AboutElemental_7,,,TRUE
LobbyPriest_AboutElemental_7,Line,Player,Eclis,...,Default,LobbyPriest_AboutElemental_8,,,TRUE
LobbyPriest_AboutElemental_8,End,,,,,,,,TRUE
LobbyPriest_Priest'sOrb_1,Line,NPC,Priest,...,OpenEyes,LobbyPriest_Priest'sOrb_2,,,TRUE
LobbyPriest_Priest'sOrb_2,Line,Player,Eclis,장님은 아니었군.,Talk,LobbyPriest_Priest'sOrb_3,,,TRUE
LobbyPriest_Priest'sOrb_3,Line,NPC,Priest,당신의 영혼에 심각한 균열이 있습니다.,OpenEyesTalk,LobbyPriest_Priest'sOrb_4,,,TRUE
LobbyPriest_Priest'sOrb_4,Line,Player,Eclis,…그런 미신같은 말은 별로 좋아하지 않지만… 어쩐지 악몽을 꾼 것 같은 느낌이야. ,Talk,LobbyPriest_Priest'sOrb_5,,,TRUE
LobbyPriest_Priest'sOrb_5,Line,NPC,Priest,받으세요. 가지고 있으면 당신을 보호해줄 겁니다.,OpenEyesTalk,LobbyPriest_Priest'sOrb_6,,,TRUE
LobbyPriest_Priest'sOrb_6,Line,Player,Eclis,이제 너의 정체가 뭔지 가늠조차 되지 않는데.,Talk,LobbyPriest_Priest'sOrb_7,,,TRUE
LobbyPriest_Priest'sOrb_7,Line,NPC,Priest,…저는 신탁을 받고 당신의 시련을 돕기 위해 존재하는 이 탑의 관리자입니다.,Talk,LobbyPriest_Priest'sOrb_8,,,TRUE
LobbyPriest_Priest'sOrb_8,Line,Player,Eclis,그러시겠지.,Talk,LobbyPriest_Priest'sOrb_9,,,TRUE
LobbyPriest_Priest'sOrb_9,Line,NPC,Priest,못 믿으시는군요. 성직자는 거짓말을 하지 않습니다.,Talk,LobbyPriest_Priest'sOrb_10,,,TRUE
LobbyPriest_Priest'sOrb_10,Line,Player,Eclis,내 주변 성직자들은 거짓말을 입에 달고 살던데?,Talk,LobbyPriest_Priest'sOrb_11,,,TRUE
LobbyPriest_Priest'sOrb_11,Line,NPC,Priest,저를 그런 타락한 자들과 비교하지 마시죠.,Talk,LobbyPriest_Priest'sOrb_12,,,TRUE
LobbyPriest_Priest'sOrb_12,Line,Player,Eclis,"그래 알았어, 화내지마. 진지하게 넌 마음만 먹으면 지금 날 없애버릴 수도 있을 것 같으니깐.",Talk,LobbyPriest_Priest'sOrb_13,,,TRUE
LobbyPriest_Priest'sOrb_13,End,,,,,,,,TRUE
Heca_First_1,Line,NPC,Heca,음... 안녕?,Default,Heca_First_2,,,TRUE
Heca_First_2,Line,Player,Eclis,대장간? 이런 곳에 왜 대장장이가 있는 거지?,Talk,Heca_First_3,,,TRUE
Heca_First_3,Line,NPC,Heca,전투가 있는 곳에는 전투에 필요한 장비가 있고 장비가 있는 곳엔 대장장이가 있는 거지.\n그게 그렇게 이상할 일인가?,Talk,Heca_First_4,,,TRUE
Heca_First_4,Line,Player,Eclis,그 대장장이가 전장 한복판에 있는 건 못 본 것 같은데.,Talk,Heca_First_5,,,TRUE
Heca_First_5,Line,NPC,Heca,"아하, 내가 이러다가 마족의 습격이라도 당할까봐 걱정하는 건가?",Talk,Heca_First_6,,,TRUE
Heca_First_6,Line,Player,Eclis,네 걱정을 한 게 아니야. 이곳에서도 구역질나는 인간 시체를 보는 게 싫을 뿐.\n네가 죽고 말고엔 관심 없다.,Talk,Heca_First_7,,,TRUE
Heca_First_7,Line,NPC,Heca,"하하, 생각한 것 보단 훨씬 괴팍한 성격이네.\n하긴, 이런 곳에 착해빠진 용사는 안 어울리긴 하지.",Talk,Heca_First_8,,,TRUE
Heca_First_8,Line,NPC,Heca,"여긴 나의 영역이라 괴물같은 건 들어오지 않아.\n네가 이해하기 쉽게 말하자면, 난 시련의 과정에 포함된 일부지.\n그러니 내가 죽는 일 같은 건 일어나지 않아.",Talk,Heca_First_9,,,TRUE
Heca_First_9,Line,Player,Eclis,그럼 너도 이 시련에서 맡은 역할이 있겠군.,Talk,Heca_First_10,,,TRUE
