rowID,isEnable,npcID,dialogueID,priority,conditionIDs,rewardIDs,isOnce
EV_Krabian_Krabian'sCanine,TRUE,Krabian,Krabian_Krabian'sCanine,2001,COND_Krabian_AllShopPurchased,Reward_Relic_Krabian'sCanine,TRUE
EV_LobbyPriest_Priest'sOrb,TRUE,LobbyPriest,LobbyPriest_Priest'sOrb,2099,COND_FirstReachedStage5,Reward_Relic_Priest_Priest'sOrb,TRUE
EV_TrainingDoll_SoulOfGuardian1,FALSE,TrainingDoll,,2001,COND_MaxSingleAttackDamage200,Reward_Relic_SoulOfGuardian1,TRUE
EV_TrainingDoll_SoulOfGuardian2,FALSE,TrainingDoll,,2001,COND_MaxSingleAttackDamage400,Reward_Relic_SoulOfGuardian2,TRUE
EV_TrainingDoll_SoulOfGuardian3,FALSE,TrainingDoll,,2001,COND_MaxSingleAttackDamage600,Reward_Relic_SoulOfGuardian3,TRUE
EV_Heca_Heca'sGemstone,TRUE,Heca,Heca_Heca'sGemstone,2001,COND_GainedFiveTwoStarCards_Grade2,Reward_Relic_Heca'sGemstone,TRUE
EV_LobbyPriest_PowerOfKnight,TRUE,LobbyPriest,LobbyPriest_PowerOfKnight,2098,COND_FirstActivatedHonestySynergy5,Reward_Relic_PowerOfKnight,TRUE
EV_LobbyPriest_PowerOfProtector,TRUE,LobbyPriest,LobbyPriest_PowerOfProtector,2097,COND_FirstActivatedShieldAttackSynergy5,Reward_Relic_PowerOfProtector,TRUE
EV_LobbyPriest_PowerOfVampire,TRUE,LobbyPriest,LobbyPriest_PowerOfVampire,2096,COND_FirstActivatedBloodSuckingSynergy5,Reward_Relic_PowerOfVampire,TRUE
EV_LobbyPriest_PowerOfPlunderer,TRUE,LobbyPriest,LobbyPriest_PowerOfPlunderer,2095,COND_FirstActivatedPlunderSynergy5,Reward_Relic_PowerOfPlunderer,TRUE
EV_LobbyPriest_PowerOfWitch,TRUE,LobbyPriest,LobbyPriest_PowerOfWitch,2094,COND_FirstActivatedDarkSynergy5,Reward_Relic_PowerOfWitch,TRUE
EV_LobbyPriest_PowerOfElemental,TRUE,LobbyPriest,LobbyPriest_PowerOfElemental,2093,COND_FirstActivatedMysterySynergy5,Reward_Relic_PowerOfElemental,TRUE
EV_LobbyPriest_PowerOfKing,TRUE,LobbyPriest,LobbyPriest_PowerOfKing,2092,COND_FirstActivatedUnfairSynergy5,Reward_Relic_PowerOfKing,TRUE
EV_EventPriest_First,TRUE,EventPriest,EventPriest_First,1099,COND_EventPriest_FirstEncounter,,TRUE
EV_LobbyPriest_First,TRUE,LobbyPriest,LobbyPriest_First,1099,COND_LobbyPriest_FirstEncounter,,TRUE
EV_LobbyPriest_Second,TRUE,LobbyPriest,LobbyPriest_Second,1098,COND_LobbyPriest_SecondEncounter,,TRUE
EV_LobbyPriest_Third,TRUE,LobbyPriest,LobbyPriest_Third,1089,COND_LobbyPriest_FourthEncounter,,TRUE
EV_LobbyPriest_Fourth,TRUE,LobbyPriest,LobbyPriest_Fourth,1088,COND_LobbyPriest_SeventhEncounter,,TRUE
EV_LobbyPriest_AboutElemental,TRUE,LobbyPriest,LobbyPriest_AboutElemental,1097,COND_LobbyPriest_ElementalEncounter,,TRUE
EV_Heca_First,TRUE,Heca,Heca_First,1099,COND_Heca_FirstEncounter,,TRUE
EV_Heca_Second,TRUE,Heca,Heca_Second,1098,COND_Heca_SecondEncounter,,TRUE
EV_Heca_Third,TRUE,Heca,Heca_Third,1097,COND_Heca_FourthEncounter,,TRUE
EV_Heca_Fourth,TRUE,Heca,Heca_Fourth,1096,COND_Heca_FifthEncounter,,TRUE
EV_Heca_RelicHint,FALSE,Heca,Heca_RelicHint,1095,,,TRUE
EV_Krabian_First,TRUE,Krabian,Krabian_First,1099,COND_Krabian_FirstEncounter,,TRUE
EV_Krabian_Second,TRUE,Krabian,Krabian_Second,1098,COND_Krabian_SecondEncounter,,TRUE
EV_Lucien_First,TRUE,Lucien,Lucien_First,1099,COND_Lucien_FirstEncounter,,TRUE
EV_Lucien_Second,TRUE,Lucien,Lucien_Second,1098,COND_Lucien_SecondEncounter,,TRUE
EV_Elemental_First,TRUE,Elemental,Elemental_First,1099,COND_Elemental_First,,TRUE
EV_Elemental_Second,FALSE,Elemental,Elemental_Second,1098,,,TRUE
EV_Clown_First,TRUE,Clown,Clown_First,1099,COND_Clown_FirstEncounter,,TRUE
