rowID,isEnable,conditionType,targetID,value,arguments
COND_Krabian_AllShopPurchased,TRUE,ShopAllItemsPurchased,,0,
COND_FirstReachedStage5,TRUE,FirstReachedStage,,5,
COND_MaxSingleAttackDamage200,TRUE,MaxSingleAttackDamageAtLeast,,200,
COND_MaxSingleAttackDamage400,TRUE,MaxSingleAttackDamageAtLeast,,400,
COND_MaxSingleAttackDamage600,TRUE,MaxSingleAttackDamageAtLeast,,600,
COND_GainedFiveTwoStarCards_Grade2,TRUE,GainedCardGradeCountInRunAtLeast,,5,2
COND_FirstActivatedHonestySynergy5,TRUE,FirstActivatedSynergyAtLeast,210001,5,
COND_FirstActivatedShieldAttackSynergy5,TRUE,FirstActivatedSynergyAtLeast,210002,5,
COND_FirstActivatedBloodSuckingSynergy5,TRUE,FirstActivatedSynergyAtLeast,210004,5,
COND_FirstActivatedPlunderSynergy5,TRUE,FirstActivatedSynergyAtLeast,210005,5,
COND_FirstActivatedDarkSynergy5,TRUE,FirstActivatedSynergyAtLeast,210008,5,
COND_FirstActivatedMysterySynergy5,TRUE,FirstActivatedSynergyAtLeast,210006,5,
COND_FirstActivatedUnfairSynergy5,TRUE,FirstActivatedSynergyAtLeast,210013,5,
COND_EventPriest_FirstEncounter,TRUE,FirstNpcEncounter,EventPriest,0,
COND_LobbyPriest_FirstEncounter,TRUE,FirstNpcEncounter,LobbyPriest,0,
COND_LobbyPriest_SecondEncounter,TRUE,NpcEncounterCountAtLeast,LobbyPriest,2,
COND_LobbyPriest_FourthEncounter,TRUE,NpcEncounterCountAtLeast,LobbyPriest,4,
COND_LobbyPriest_SeventhEncounter,TRUE,NpcEncounterCountAtLeast,LobbyPriest,7,
COND_LobbyPriest_ElementalEncounter,TRUE,NpcEncounterCountAtLeast,Elemental,1,
COND_Heca_FirstEncounter,TRUE,FirstNpcEncounter,Heca,0,
COND_Heca_SecondEncounter,TRUE,NpcEncounterCountAtLeast,Heca,2,
COND_Heca_FourthEncounter,TRUE,NpcEncounterCountAtLeast,Heca,4,
COND_Heca_FifthEncounter,TRUE,NpcEncounterCountAtLeast,Heca,5,
,,,,,
COND_Krabian_FirstEncounter,TRUE,FirstNpcEncounter,Krabian,0,
COND_Krabian_SecondEncounter,TRUE,NpcEncounterCountAtLeast,Krabian,2,
COND_Lucien_FirstEncounter,TRUE,FirstNpcEncounter,Lucien,0,
COND_Lucien_SecondEncounter,TRUE,NpcEncounterCountAtLeast,Lucien,2,
COND_Elemental_First,TRUE,FirstNpcEncounter,Elemental,0,
,,,,,
COND_Clown_FirstEncounter,TRUE,FirstNpcEncounter,Clown,0,
